"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012020717","20122013","R",2013-04-27,"17","25",3,0,"away win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012020167","20122013","R",2013-02-10,"22","29",3,1,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020859","20132014","R",2014-02-07,"52","15",2,4,"home win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020707","20132014","R",2014-01-16,"7","10",3,4,"home win SO","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2012020108","20122013","R",2013-02-02,"1","5",1,5,"home win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020987","20132014","R",2014-03-13,"16","21",2,3,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2013020196","20132014","R",2013-11-02,"8","30",3,4,"home win REG","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012020598","20122013","R",2013-04-11,"9","4",3,1,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020661","20132014","R",2014-01-10,"25","1",0,1,"home win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020868","20132014","R",2014-02-08,"3","5",4,3,"away win SO","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020203","20132014","R",2013-11-02,"4","1",1,0,"away win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020983","20132014","R",2014-03-12,"22","30",4,3,"away win SO","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2013020955","20132014","R",2014-03-09,"4","10",3,4,"home win OT","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2013020985","20132014","R",2014-03-12,"6","8",4,1,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012020298","20122013","R",2013-03-01,"17","28",2,1,"away win SO","left","HP Pavilion at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012020495","20122013","R",2013-03-28,"3","9",0,3,"home win REG","left","Scotiabank Place","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020793","20142015","R",2015-02-10,"26","29",4,3,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020700","20142015","R",2015-01-28,"14","12",2,4,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020201","20142015","R",2014-11-08,"53","24",3,2,"away win SO","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021092","20142015","R",2015-03-24,"19","5",3,2,"away win OT","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT
"2015020598","20152016","R",2016-01-07,"19","21",3,4,"home win OT","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2016021099","20162017","R",2017-03-24,"22","21",7,4,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2015020062","20152016","R",2015-10-17,"19","23",4,3,"away win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2015020550","20152016","R",2015-12-30,"16","53",7,5,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2016020400","20162017","R",2016-12-09,"5","13",5,1,"away win REG","right","BB&T Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020058","20162017","R",2016-10-21,"26","25",4,3,"away win OT","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2017020166","20172018","R",2017-10-29,"15","22",5,2,"away win REG","left","Rogers Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2015020374","20152016","R",2015-12-04,"1","12",5,1,"away win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020036","20162017","R",2016-10-18,"6","52",4,1,"away win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2015020355","20152016","R",2015-12-01,"21","2",3,5,"home win REG","left","Barclays Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020258","20162017","R",2016-11-19,"8","12",2,3,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015020057","20152016","R",2015-10-16,"30","53",4,3,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2015020289","20152016","R",2015-11-21,"26","17",2,3,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2015020803","20152016","R",2016-02-10,"28","16",2,0,"away win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020278","20162017","R",2016-11-22,"21","29",3,2,"away win OT","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020830","20172018","R",2018-02-09,"23","14",2,5,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020227","20172018","R",2017-11-08,"13","12",1,3,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020050","20162017","R",2016-10-20,"10","52",4,5,"home win OT","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2017020704","20172018","R",2018-01-19,"5","26",3,1,"away win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020726","20172018","R",2018-01-23,"21","10",4,2,"away win REG","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
